"Name","adamw_lr","adamw_weight_decay","alpha","muon_lr","muon_weight_decay","batch_perplexity","raw_grad_norm","test_accuracy","test_combined_score","test_pearson","train_loss","val_accuracy","val_combined_score","val_pearson"
"twilight-sweep-95","0.0001492369220824373","0.03589728538721217","0.1269980605253882","0.0005935996006531239","0.03758828670780545","1.0784045457839966","0.9999995322536614","0.8782220418104323","0.8828724143901248","0.8875227869698172","0.07548262178897858","0.864","0.8686722577939825","0.8733445155879649"
"earthy-sweep-13","0.00014889870203996775","0.03552598921241356","0.17689156373715653","0.0006161039551958639","0.03366802195746529","1.0924794673919678","0.9999996450789204","0.8790338948650295","0.8819708738646457","0.8849078528642619","0.08844989538192749","0.866","0.8696052590295991","0.8732105180591982"
"glad-sweep-89","0.0001489715131555687","0.03509927471932901","0.22336181591960763","0.0005894768711079206","0.03157612714736946","1.0877923965454102","0.9999996497472948","0.8763953724375888","0.8815769662286839","0.8867585600197788","0.0841502845287323","0.868","0.8717513549920151","0.8755027099840302"
"chocolate-sweep-38","0.0001432669378376245","0.0353834755510399","0.4094584296363198","0.0005700693441937332","0.038033626962640725","1.0563702583312988","0.9999992415555368","0.8755835193829917","0.8815450744489177","0.8875066295148437","0.05483877286314964","0.866","0.8734967133724034","0.880993426744807"
"light-sweep-48","0.00014176334276002","0.03524030791689672","0.001271286473561395","0.0006208015116370956","0.034775882882940076","1.0770113468170166","0.999999508562886","0.8772072254921859","0.8815424380660127","0.8858776506398396","0.07418996095657349","0.864","0.8667913531362954","0.8695827062725907"
"rich-sweep-37","0.00014462493342523784","0.03548625018717655","0.005928202030041241","0.0005689693823978336","0.03678979679663419","1.0773884057998655","0.999999705163512","0.8778161152831337","0.8810122184945366","0.8842083217059394","0.0745399221777916","0.858","0.8656617553872639","0.8733235107745277"
"woven-sweep-47","0.00014248000605595834","0.03599757173313506","0.2352138805990303","0.0006641882620943714","0.034877960733833854","1.073185682296753","0.9999996033886258","0.8753805561193424","0.8801506971252469","0.8849208381311514","0.07063145935535431","0.868","0.8695637055743661","0.8711274111487324"
"helpful-sweep-53","0.00014109310927243942","0.035295429658220426","0.43029709089317664","0.0006568298004100285","0.037022768546213926","1.0705550909042358","0.9999996214872984","0.8782220418104323","0.8797920785313118","0.8813621152521912","0.06817731261253357","0.852","0.8616067626687267","0.8712135253374536"
"fine-sweep-76","0.0001493262328540464","0.03570504392555569","0.3764355444536104","0.000585249231705429","0.03904892539131972","1.0578535795211792","0.9999994971241024","0.8757864826466409","0.8794504336498011","0.8831143846529613","0.056241825222969055","0.872","0.8732036294605885","0.874407258921177"
"clean-sweep-7","0.00014770467644371245","0.03529995959178402","0.3794374323353664","0.000592574863962906","0.03553633306476222","1.0604910850524902","0.9999994468670234","0.8761924091739395","0.8794032278838895","0.8826140465938394","0.05873209238052368","0.852","0.8617147701748393","0.8714295403496788"
"kind-sweep-81","0.000147203305844669","0.035231165495741394","0.4541051950066308","0.000646034809162772","0.032949770555102204","1.1453222036361694","0.9999997077321306","0.874365739801096","0.8793422801688017","0.8843188205365073","0.1356860250234604","0.874","0.8734383453720715","0.872876690744143"
"soft-sweep-51","0.0001489428788191024","0.0354557321719572","0.05113344518762225","0.0005955236546212166","0.03515307585053149","1.0606443881988523","0.9999994576182246","0.8757864826466409","0.8793331351280147","0.8828797876093885","0.05887657403945923","0.862","0.8691056949690272","0.8762113899380545"
"stoic-sweep-2","0.0001474785749052636","0.03534423205050585","0.3610396576569628","0.0005935752634900643","0.03500311450421665","1.0673274993896484","0.9999995785040136","0.8759894459102903","0.879226068237944","0.8824626905655979","0.06515781581401825","0.854","0.8652677890070817","0.8765355780141634"
"kind-sweep-87","0.00014762922074259264","0.03595615129265576","0.26120531759393967","0.0005794644581627668","0.03229732685130645","1.0596331357955933","0.9999994970914452","0.8727420336919017","0.8789536755093342","0.8851653173267667","0.05792272090911865","0.868","0.8748676208317021","0.8817352416634042"
"peachy-sweep-69","0.00014481096814600072","0.03558727082831299","0.2705427841138834","0.0005703419491135859","0.0361721986982976","1.0850287675857544","0.9999996709087586","0.8735538867464989","0.8787095515017714","0.883865216257044","0.08160644769668579","0.872","0.8754002570353892","0.8788005140707783"
"expert-sweep-72","0.0001492229614245252","0.035365417313828654","0.32102098339287705","0.0005667785077849814","0.03699025680008656","1.0601205825805664","0.9999994447955848","0.8737568500101481","0.8786138140059021","0.8834707780016562","0.05838259682059288","0.884","0.882282852595486","0.8805657051909721"
"glorious-sweep-49","0.00014116233294189548","0.03515404445663703","0.09728200988900398","0.0006411023372190213","0.030659871378198447","1.0807921886444092","0.999999615519788","0.8751775928556931","0.8783414840601903","0.8815053752646875","0.07769425213336945","0.87","0.8720448916828805","0.8740897833657608"
"generous-sweep-98","0.0001477207599474014","0.03586393148030914","0.04127529297408977","0.0006319684825396782","0.03763257928750422","1.1209772825241089","0.9999997630124736","0.8753805561193424","0.8782167761217224","0.8810529961241025","0.11420091986656188","0.864","0.8686258080403753","0.8732516160807505"
"legendary-sweep-28","0.00014945431417455005","0.03560128121841758","0.46599319558201113","0.0006107726735722405","0.03612928044717198","1.061173677444458","0.999999389194547","0.8729449969555511","0.8782070092645259","0.8834690215735007","0.05937547981739044","0.858","0.8640704450514081","0.8701408901028161"
"fearless-sweep-106","0.00014519737428562486","0.035564266510300924","0.34418185784537175","0.00064749492787719","0.03956687493762884","1.0817763805389404","0.9999995821268644","0.8701035112644612","0.8781125560542951","0.8861216008441288","0.07860447466373444","0.866","0.8715259454553405","0.8770518909106809"
"misty-sweep-9","0.00014707988678679292","0.03530927341700318","0.4181550784303544","0.0005868861572716266","0.03512944474219305","1.065678596496582","0.9999992712839084","0.8713212908463568","0.8780652788963035","0.8848092669462502","0.06361173838376999","0.854","0.8640871663506682","0.8741743327013363"
"snowy-sweep-15","0.00014810160403424207","0.0352521425778992","0.03644696383955015","0.0006544871061164917","0.03841080868853453","1.1160885095596311","0.9999998404557288","0.8735538867464989","0.8780283595119756","0.8825028322774523","0.10983024537563324","0.868","0.8708611494490575","0.873722298898115"
"lucky-sweep-61","0.0001472487489606497","0.03510782559677237","0.48855222029565626","0.0006452846751250768","0.03359918191094567","1.058730125427246","0.9999993074230876","0.8735538867464989","0.8779912558224123","0.8824286248983256","0.05707019940018654","0.864","0.869547959666507","0.875095919333014"
"peachy-sweep-41","0.00014229123294314962","0.03597764087642234","0.3179103391858781","0.0005719264025898809","0.03464050800089596","1.0617671012878418","0.9999995909758932","0.8729449969555511","0.8779549424692388","0.8829648879829266","0.0599345937371254","0.864","0.8673120615126222","0.8706241230252445"
"bumbling-sweep-82","0.00014310134370815566","0.03526831474105908","0.004214678395442539","0.0005684452802622458","0.03161888060639174","1.0991606712341309","0.9999997745664488","0.8709153643190582","0.8779370838961532","0.8849588034732482","0.094546839594841","0.858","0.8628569591350359","0.8677139182700718"
"stellar-sweep-21","0.00014788206036890695","0.03572298285618344","0.4776778900029416","0.0006167022243385963","0.036208657957414264","1.055660367012024","0.999999585618628","0.872133143900954","0.8779325715742967","0.8837319992476396","0.05416643247008324","0.868","0.8737841255839045","0.8795682511678091"
"hardy-sweep-94","0.00014753172455535116","0.035987452870724475","0.02200788465107284","0.0006206141931670604","0.035718113159501394","1.0413966178894043","0.8759402871765312","0.8737568500101481","0.8779138074877257","0.8820707649653035","0.0405627116560936","0.872","0.8722758566376532","0.8725517132753062"
"fluent-sweep-70","0.0001443140215182643","0.035256635665217424","0.4961250104396745","0.0006063777753881807","0.034321287155559585","1.067125916481018","0.9999993318897492","0.8696975847371625","0.8777670422287107","0.8858364997202588","0.06496898829936981","0.86","0.8668394699045978","0.8736789398091958"
"stellar-sweep-86","0.0001417122068938849","0.035148487512354554","0.010943411650230994","0.0005688808724542965","0.03432731981996999","1.1801753044128418","0.9999997741276856","0.872133143900954","0.8777386032703214","0.8833440626396889","0.1656629741191864","0.868","0.8709445774690516","0.8738891549381033"
"earnest-sweep-107","0.0001449681006802498","0.035839002224628415","0.3358444144715665","0.0005848395377258972","0.03492609416218209","1.0542280673980713","0.9999994295232348","0.8737568500101481","0.8776730088692779","0.8815891677284076","0.05280879884958267","0.87","0.8698541191532063","0.8697082383064125"
"zesty-sweep-75","0.00014071153053846124","0.03566571849985746","0.456730111059373","0.0005915438016999667","0.03640946396018897","1.0949569940567017","0.9999995257970044","0.8733509234828496","0.8776592634850364","0.8819676034872231","0.09071512520313264","0.868","0.8753195378407401","0.8826390756814801"
"solar-sweep-63","0.0001400737573877282","0.03589922721399936","0.2845025343198865","0.0006136263445367334","0.036403252470231656","1.0559872388839722","0.9999992965787592","0.8719301806373047","0.877658048069291","0.8833859155012775","0.054476045072078705","0.87","0.8722332816806029","0.8744665633612058"
"worldly-sweep-50","0.000147980748831739","0.0358777878126168","0.023914485691393372","0.0006056685800721276","0.034402365272448616","1.1563454866409302","0.999999863751881","0.8709153643190582","0.8776491719225143","0.8843829795259704","0.14526455104351044","0.872","0.8749569194204111","0.8779138388408222"
"vocal-sweep-92","0.00014330285883909537","0.035146416672249804","0.1754214175495571","0.0005710198321573154","0.03473331396518055","1.0517741441726685","0.9999994237347546","0.8753805561193424","0.8776154120944801","0.879850268069618","0.05047842487692833","0.866","0.8703503389151515","0.8747006778303028"
"ancient-sweep-6","0.00014572038810556877","0.03527165564542425","0.30417015787074875","0.0005922184963754826","0.03477960553954041","1.0576083660125732","0.9999994253769856","0.8733509234828496","0.8774919670527865","0.8816330106227235","0.05601009726524353","0.832","0.8462148153948894","0.860429630789779"
"scarlet-sweep-22","0.00014545098836379178","0.035180714420654804","0.2035197518831936","0.0005771259087840248","0.03314888194214599","1.0589570999145508","0.9999995309658908","0.8723361071646032","0.8772461698531977","0.8821562325417922","0.05728460103273392","0.842","0.8573535412534485","0.872707082506897"
"cerulean-sweep-58","0.0001405112720692584","0.03526728768144726","0.30546015008081134","0.0005734156628962482","0.03139534653534496","1.0554929971694946","0.9999992329525308","0.8686827684189162","0.8769056646094529","0.8851285607999895","0.05400790274143219","0.866","0.8688107109481187","0.8716214218962373"
"olive-sweep-88","0.0001455812285296896","0.03597117725755463","0.02025299881353432","0.0006177785258568205","0.03517043520536582","1.0613207817077637","0.9999994696011282","0.8699005480008118","0.8768104689522205","0.8837203899036291","0.05951416492462158","0.862","0.8701473933139671","0.8782947866279341"
"vivid-sweep-44","0.00014574268546571853","0.03565533522636816","0.22745083849540249","0.0005961984691348395","0.036561003324074866","1.0748372077941897","0.9999995133321584","0.8696975847371625","0.876774083935167","0.8838505831331713","0.0721692144870758","0.868","0.8698169139485284","0.8716338278970569"
"peach-sweep-30","0.00014491164700868497","0.03587036309596518","0.2815676290734036","0.0005844108462811745","0.03931934577808035","1.072891116142273","0.9999995817171744","0.8711183275827076","0.8767270345056097","0.8823357414285119","0.07035694271326065","0.866","0.8682272775869215","0.8704545551738432"
"logical-sweep-52","0.00014093895453066145","0.03535730844751422","0.30884462545711455","0.0006636495540851755","0.03491842835105172","1.0839011669158936","0.9999996195264814","0.8711183275827076","0.8766873501343384","0.8822563726859691","0.08056666702032089","0.868","0.8716164719491015","0.8752329438982032"
"brisk-sweep-39","0.0001462328599696137","0.03570202896008666","0.04626778289465927","0.0005725993725610584","0.033098699626535194","1.0536516904830933","0.9999992271140532","0.8719301806373047","0.876634052248676","0.8813379238600473","0.05226193368434906","0.856","0.863751291062087","0.8715025821241742"
"ancient-sweep-46","0.0001448815889478632","0.03564141614770182","0.09080412664320836","0.0005955187314585107","0.030384023462722308","1.048181653022766","0.9999993480934624","0.872133143900954","0.8764943649587646","0.8808555860165752","0.04705695062875748","0.862","0.8698225503059311","0.8776451006118623"
"legendary-sweep-14","0.00014015798207378508","0.035107509780283805","0.08929871980985349","0.0006226898340471626","0.03356384107571378","1.0488989353179932","0.9326376693457288","0.8719301806373047","0.8764801692209729","0.8810301578046413","0.04774098098278046","0.864","0.8716030687135508","0.8792061374271016"
"azure-sweep-84","0.00014927630410451804","0.03574026953629519","0.42699988412078255","0.0006553647410198498","0.03655428084581984","1.1279618740081787","0.9999997223126308","0.8705094377917597","0.8763970604093863","0.8822846830270128","0.12041233479976654","0.856","0.8643370068882039","0.8726740137764079"
"zany-sweep-8","0.00014660721733573395","0.03529995412558595","0.39256684945478953","0.0005924527355039586","0.03520691536950325","1.0762181282043457","0.9999996082086476","0.8680738786279684","0.8763839801385465","0.8846940816491244","0.07345312833786011","0.86","0.865900677037763","0.871801354075526"
"rich-sweep-27","0.0001430723647068299","0.035419260103931836","0.04112237932836749","0.0006235199982272509","0.03271933994826129","1.0683506727218628","0.9999994262575824","0.8725390704282525","0.8762958230688062","0.8800525757093598","0.06611613929271698","0.864","0.8678428445027262","0.8716856890054524"
"divine-sweep-100","0.00014778614650470313","0.03512566472181595","0.22238182583344207","0.0006661607031249963","0.031492916758915364","1.0851932764053345","0.9999996531001284","0.8680738786279684","0.8762429508140254","0.8844120230000824","0.08175808191299438","0.866","0.8733635835922624","0.8807271671845247"
"hearty-sweep-67","0.000149232033235292","0.03539867668577586","0.3275014276564772","0.0005757127283319613","0.038073845878433696","1.073777437210083","0.9999997966263924","0.8690886949462148","0.8761717724676086","0.8832548499890025","0.07118278741836548","0.87","0.8732909681389315","0.876581936277863"
"silver-sweep-16","0.0001491907168299264","0.0351339641146405","0.4401059441957645","0.0006165108891627489","0.03880151455927021","1.0788965225219729","0.99999969135763","0.8737568500101481","0.8759720663035226","0.8781872825968973","0.07593877613544464","0.854","0.8602673360668827","0.8665346721337652"
"sweet-sweep-64","0.00014022488130613608","0.03527530442404668","0.1983577071842209","0.0005728226748456593","0.03083185315252691","1.0608898401260376","0.9999995928316338","0.8703064745281104","0.8759581096113704","0.8816097446946306","0.059107936918735504","0.87","0.8738704927665626","0.8777409855331252"
"fanciful-sweep-26","0.000147001506719053","0.03585140975119052","0.09505682425357465","0.0005913786799074346","0.03340998017713054","1.0573954582214355","0.9999992263588776","0.8694946214735133","0.8759167962081241","0.882338970942735","0.05580883473157883","0.878","0.8766319773173518","0.8752639546347035"
"northern-sweep-10","0.0001470628236268517","0.03541955539468386","0.45525353880231345","0.0005942565728447027","0.03681793067970919","1.0893584489822388","0.9999997169781508","0.8703064745281104","0.8757467387256906","0.8811870029232709","0.0855889841914177","0.858","0.8655835252105792","0.8731670504211585"
"gentle-sweep-19","0.00014943554634834244","0.03562860344725925","0.1375938583936412","0.0006067735478744899","0.03442075535736458","1.079709529876709","0.9999995654341244","0.8672620255733712","0.8757230227778882","0.8841840199824051","0.07669205963611603","0.868","0.8731342624560263","0.8782685249120525"
"eager-sweep-45","0.00014032981271429166","0.035586485986950925","0.37162912270398585","0.000670096478587296","0.03478928031788907","1.0667378902435305","0.9999994556301652","0.869291658209864","0.875572362428069","0.881853066646274","0.06460530310869217","0.86","0.8660537156990435","0.8721074313980871"
"silvery-sweep-116","0.00014470898115011662","0.035592062688598845","0.3078682781448455","0.0006002007520586506","0.039311950793915536","1.129308819770813","0.9999996275379918","0.8660442459914756","0.8755530430909648","0.8850618401904541","0.121605783700943","0.854","0.8620955813345412","0.8701911626690824"
"sleek-sweep-74","0.00014990475572742142","0.03591747625052152","0.21762409984594172","0.0005777815133115074","0.03277627125243003","1.0845168828964231","0.9999996352441288","0.8682768418916176","0.8755004344078379","0.8827240269240582","0.08113458752632141","0.878","0.8801625370961723","0.8823250741923447"
