"Name","adamw_lr","muon_lr","batch_perplexity","raw_grad_norm","test_accuracy","test_combined_score","test_pearson","train_loss","val_accuracy","val_combined_score","val_pearson"
"dandy-sweep-172","0.0001445459770748562","0.0005605063730854887","1.387916088104248","0.9999998132341238","0.8780190785467831","0.8795567936314357","0.8810945087160882","0.327803373336792","0.856","0.8624213146122475","0.8688426292244948"
"glad-sweep-5","0.00014446057349672635","0.0005294944859535476","1.350417137145996","0.9999998151959644","0.874365739801096","0.8789767192653579","0.88358769872962","0.3004135489463806","0.86","0.8602325929703596","0.8604651859407193"
"volcanic-sweep-176","0.0001445953056018302","0.0004590924249154398","1.5477184057235718","0.9999998988102888","0.8776131520194844","0.878471652986154","0.8793301539528237","0.4367818236351013","0.848","0.8561412994537099","0.8642825989074199"
"silvery-sweep-175","0.0001444205094329035","0.000683458110152444","1.245734930038452","0.9999998890390216","0.8747716663283945","0.8782987327957836","0.8818257992631726","0.2197256088256836","0.866","0.8668242893413995","0.8676485786827992"
"stilted-sweep-9","0.00014457588241074574","0.0004102642492555528","1.4689713716506958","0.9999998710055178","0.8770042622285367","0.8782719633825096","0.8795396645364824","0.3845624327659607","0.854","0.8541480666313772","0.8542961332627546"
"resilient-sweep-3","0.00014474302138985917","0.0005618794401215313","1.3581982851028442","0.99999982797993","0.8719301806373047","0.8771728420990451","0.8824155035607856","0.30615904927253723","0.838","0.8517843481929451","0.8655686963858903"
"clear-sweep-168","0.00014497741043438908","0.0004613197797421526","1.4125028848648071","0.9999998527245983","0.8747716663283945","0.8769842983747602","0.8791969304211259","0.3453632593154907","0.858","0.8628561688535307","0.8677123377070614"
"lucky-sweep-8","0.00014487387088156083","0.0004238235515546799","1.437803030014038","0.9999999753820382","0.8737568500101481","0.8763220832643354","0.8788873165185226","0.36311620473861694","0.842","0.849843078900685","0.8576861578013699"
"dazzling-sweep-173","0.00014488960107073798","0.00043726724652705417","1.5571939945220947","0.9999999453972368","0.8719301806373047","0.8761442529347764","0.8803583252322481","0.4428853988647461","0.856","0.8567816310486107","0.8575632620972213"
"graceful-sweep-167","0.00014472985222607098","0.0006272931110920293","1.3770315647125244","0.9999997437750204","0.872133143900954","0.8759837769080601","0.8798344099151663","0.31993013620376587","0.842","0.8490823450333174","0.8561646900666348"
"vibrant-sweep-2","0.0001448130903260259","0.0006688151759837142","1.590754747390747","0.99999994694156","0.8711183275827076","0.875152063301829","0.8791857990209506","0.46420860290527344","0.85","0.853463527368823","0.8569270547376461"
"good-sweep-171","0.00014417603991363122","0.0005528638544626677","1.489141583442688","0.999999850331224","0.8686827684189162","0.8748900740557746","0.8810973796926328","0.3981998264789582","0.86","0.8634980972011261","0.8669961944022523"
"twilight-sweep-169","0.00014461304223636665","0.0004920006984909475","1.3217390775680542","0.999999847620635","0.8735538867464989","0.8747973382266865","0.876040789706874","0.2789483666419983","0.858","0.8592531499846023","0.8605062999692046"
"misty-sweep-7","0.00014465525021336735","0.00047239327538370785","1.5272644758224487","0.9999998909067844","0.8733509234828496","0.8743408688073053","0.8753308141317612","0.4234781861305237","0.856","0.8586369783096515","0.8612739566193031"
"absurd-sweep-4","0.00014475980105423762","0.0005776619748880886","1.6002492904663086","0.999999873821045","0.8703064745281104","0.873647329089201","0.8769881836502915","0.4701593518257141","0.86","0.8612043351047536","0.8624086702095071"
"noble-sweep-10","0.0001449358266315392","0.0005722298099767136","1.4132306575775146","0.999999781077201","0.8705094377917597","0.872469893536217","0.8744303492806743","0.34587836265563965","0.858","0.8637529622760216","0.8695059245520431"
"colorful-sweep-1","0.00014449009160928097","0.0006813237296982254","1.4220939874649048","0.9999998785188924","0.867870915364319","0.8682118694529226","0.8685528235415261","0.3521304130554199","0.854","0.8521652427135825","0.850330485427165"
"jumping-sweep-6","0.0001443343888342631","0.0006922621939036322","1.4629937410354614","0.9999998495552894","0.8674649888370205","0.8679956697457677","0.8685263506545149","0.3804849088191986","0.86","0.860426514531297","0.860853029062594"
"good-sweep-170","0.00014416780749611967","0.0007151529278034612","1.4190508127212524","0.9999998764079436","0.8658412827278262","0.8666971661641678","0.8675530496005093","0.34998819231987","0.848","0.859411022442004","0.8708220448840079"