"Name","adamw_lr","alpha","freeze_layers","muon_lr","batch_perplexity","raw_grad_norm","test_accuracy","test_combined_score","test_pearson","train_loss","val_accuracy","val_combined_score","val_pearson"
"silver-sweep-100","0.00019801358738778831","0.12803246603800886","3","0.000680227470445053","1.4311983585357666","0.9999999503432198","0.8707124010554089","0.875691335635683","0.880670270215957","0.3585120737552643","0.856","0.86704874684306","0.87809749368612"
"driven-sweep-62","0.0000064110199140966305","0.032323392185231885","2","0.0003995467993219395","1.4529359340667725","0.9999998967709992","0.8680738786279684","0.8756583525190869","0.8832428264102055","0.3735862672328949","0.87","0.8736471530803198","0.8772943061606397"
"dainty-sweep-37","0.000005232433024338844","0.18140784860980336","3","0.0005137759559512827","1.447451114654541","0.9999997129176704","0.8705094377917597","0.8754261765109028","0.8803429152300459","0.3698042035102844","0.874","0.8762252630689269","0.8784505261378538"
"noble-sweep-60","0.00002246555571140311","0.007880586091863795","4","0.000895581170202091","1.1485118865966797","0.999999685118396","0.8717272173736553","0.8749613554145617","0.8781954934554681","0.13846705853939056","0.842","0.8515576487682787","0.8611152975365574"
"exalted-sweep-52","0.0002175551784931672","0.0448731396462112","5","0.0002797869407137016","1.3924355506896973","0.9999999491756169","0.8654353562005277","0.874769205041798","0.8841030538830683","0.3310544490814209","0.846","0.8601337268450957","0.8742674536901913"
"bumbling-sweep-63","0.000003802287686875386","0.09344195564666938","6","0.0006686629381047601","1.3602893352508545","0.99999978106384","0.8660442459914756","0.8736022771943128","0.8811603083971501","0.3076974153518677","0.866","0.8716710447006297","0.8773420894012594"
"vague-sweep-11","0.000015303654472219247","0.12753068129650605","0","0.0005368730815509282","1.3102211952209473","0.9999996318027322","0.8680738786279684","0.8735923010405511","0.8791107234531337","0.27019596099853516","0.878","0.8731681907472729","0.8683363814945458"
"daily-sweep-65","0.000004835797794020091","0.12103134198539954","4","0.0002740903274981798","1.4874777793884275","1.000000003281831","0.8652323929368785","0.8733253392559178","0.8814182855749572","0.39708197116851807","0.852","0.863594379912788","0.875188759825576"
"stellar-sweep-102","0.00017817528603582104","0.14621050003216424","5","0.0006285830900303217","1.362266182899475","0.9999996067100592","0.8634057235640349","0.8726047806841879","0.881803837804341","0.3091496229171753","0.846","0.8571316646650098","0.8682633293300195"
"iconic-sweep-53","0.0001103652648576304","0.01754276821968248","1","0.0004231791967774574","1.2723621129989624","0.999999907152269","0.8623909072457885","0.872449523254135","0.8825081392624816","0.24087508022785187","0.866","0.869289489899951","0.8725789797999022"
"daily-sweep-14","0.00017175541751657575","0.0787847070774314","7","0.0007661285905776444","1.313805103302002","0.9999996456688162","0.8621879439821393","0.8723603391306521","0.882532734279165","0.27292758226394653","0.854","0.861818733086918","0.8696374661738361"
"bumbling-sweep-107","0.00020309477798530128","0.0834563983631802","7","0.0009366638919688624","1.5444722175598145","0.9999997690566228","0.8650294296732292","0.8718508085295527","0.8786721873858762","0.43468230962753296","0.88","0.8772316117814485","0.8744632235628971"
"zany-sweep-95","0.0000647441810574087","0.050897408904773234","0","0.00037998291917256473","1.2738170623779297","0.9999998050752776","0.8623909072457885","0.8717893183478","0.8811877294498116","0.2420179694890976","0.87","0.8695941766009185","0.8691883532018371"
"swept-sweep-114","0.00001981037728719634","0.06775171705130437","5","0.0007830807486078491","1.310649871826172","0.999999908759884","0.8652323929368785","0.8717040304019847","0.8781756678670909","0.2705231308937073","0.868","0.8684809114545817","0.8689618229091636"
"easy-sweep-3","0.00002223779652150432","0.1490507271037392","0","0.00032633457283795205","1.650254487991333","0.9999998701613358","0.8654353562005277","0.8713724860033474","0.8773096158061672","0.5009294748306274","0.868","0.8692405133278465","0.870481026655693"
"vibrant-sweep-15","0.0001240671555147114","0.188905761026854","0","0.0005775123361593542","1.4248305559158323","0.9999996826529656","0.867870915364319","0.870474214534977","0.8730775137056349","0.3540528118610382","0.836","0.8466474861822316","0.8572949723644633"
"vibrant-sweep-106","0.000011877605406516668","0.0971986147724206","6","0.0003356507949704563","1.3717905282974243","0.9999997924162288","0.8573168256545566","0.870442525623276","0.8835682255919952","0.3161168694496155","0.864","0.870747467396263","0.877494934792526"
"dashing-sweep-61","0.00007799744208021428","0.02880713300215485","1","0.0003290467078051489","1.2908620834350586","0.9999998696170252","0.8625938705094378","0.8703823986414401","0.8781709267734422","0.2553102374076843","0.872","0.8729569531997106","0.873913906399421"
"celestial-sweep-57","0.000052573543283535306","0.010386539049454637","6","0.0003945924539777868","1.2868434190750122","0.9999999654791454","0.8583316419728029","0.870240230011738","0.8821488180506731","0.2521922290325165","0.862","0.8684702549514096","0.8749405099028194"
"breezy-sweep-58","0.000009379319641868466","0.09532394243833638","5","0.00023383281720823197","1.438060283660889","0.9999998716384386","0.8593464582910493","0.8699990677988234","0.8806516773065974","0.3632951080799103","0.86","0.86662409659514","0.87324819319028"
"warm-sweep-34","0.00001834864896457072","0.13361455121675178","6","0.0004213518009046901","1.627070665359497","0.999999874979449","0.8585346052364522","0.8699907979073216","0.881446990578191","0.4867812097072602","0.858","0.8664949530945683","0.8749899061891366"
"olive-sweep-41","0.000006177079495594152","0.0753239269758997","8","0.0009314123586169604","1.5978878736495972","0.9999998310048972","0.860564237872945","0.8699325959531289","0.8793009540333128","0.46868273615837097","0.872","0.8695805682974334","0.8671611365948666"
"fiery-sweep-85","0.00000500429801470656","0.052175989922137726","7","0.0009196380371961748","1.3474764823913574","0.9999997118359596","0.8607672011365943","0.8698426859388108","0.8789181707410272","0.2982335090637207","0.854","0.8640790031314105","0.8741580062628209"
"blooming-sweep-116","0.000015704465906896587","0.17554728929873936","3","0.00020180301247988935","1.4480713605880735","0.999999820434854","0.8615790541911914","0.8696910301819396","0.8778030061726878","0.3702325224876404","0.844","0.8589686101116175","0.8739372202232351"
"gallant-sweep-70","0.00008953616089871475","0.10226289854972968","4","0.00022640664859915264","1.398432374000549","0.9999997915484156","0.8617820174548406","0.8696549807074336","0.8775279439600268","0.3353518843650818","0.86","0.8670496024584143","0.8740992049168287"
"misty-sweep-117","0.000011468558695521634","0.16794780966418055","2","0.0006537827472598523","1.735812067985535","0.9999998452483077","0.8644205398822813","0.8695818657285574","0.8747431915748335","0.5514753460884094","0.856","0.8634232508267088","0.8708465016534176"
"swift-sweep-48","0.000036984518059342505","0.19645520322458937","3","0.0007487201695992269","1.4502769708633425","0.9999997567168636","0.8646235031459306","0.869340669934501","0.8740578367230715","0.37175452709198","0.864","0.8669632469749875","0.8699264939499751"
"rare-sweep-72","0.000014081781469422713","0.04139088289954021","6","0.00024747380483644126","1.3857184648513794","0.9999999209851828","0.8567079358636087","0.8692045967938486","0.8817012577240886","0.32621872425079346","0.86","0.8671116950650308","0.8742233901300618"
"hardy-sweep-54","0.000012614146752416923","0.05408683346364403","1","0.0004986727409307132","1.307815670967102","0.9999997621134392","0.8597523848183479","0.8691588672451094","0.8785653496718709","0.2683582901954651","0.86","0.863954700105974","0.8679094002119478"
"elated-sweep-88","0.000021785643262397","0.12982096319314332","6","0.0004068190873822135","1.5845061540603638","0.9999999707068268","0.8558960828090115","0.8689654880115592","0.8820348932141069","0.46027275919914246","0.862","0.868878120236382","0.875756240472764"
"sweepy-sweep-28","0.00006850979803305483","0.07477411227722189","7","0.000393841184406387","1.43782639503479","0.9999999131054592","0.8542723766998174","0.8687798002630959","0.8832872238263744","0.3631325364112854","0.86","0.8690030025351978","0.8780060050703955"
"sunny-sweep-21","0.000009267576372726896","0.1783010130947753","9","0.0007052541190960998","1.4648667573928833","0.999999895039531","0.8629997970367363","0.8683855988529308","0.8737714006691251","0.38176429271698","0.862","0.8663600884246718","0.8707201768493437"
"absurd-sweep-12","0.00006231732083967531","0.18487154329462763","4","0.0001714975756496954","1.5267342329025269","0.999999869455338","0.8579257154455043","0.8679688210321415","0.8780119266187786","0.4231310188770294","0.844","0.858232319638796","0.8724646392775919"
"brisk-sweep-68","0.00010528590920475356","0.05082968905625745","5","0.0008874909564591279","1.230095148086548","0.9999996668809232","0.8621879439821393","0.8677256775933286","0.8732634112045179","0.2070914655923843","0.864","0.8626643746620557","0.8613287493241115"
"likely-sweep-19","0.000016182883504750498","0.13825818391552225","5","0.0005644112605683516","1.4252310991287231","0.9999996616325576","0.8573168256545566","0.8677013232719677","0.8780858208893789","0.35433393716812134","0.856","0.8637135105253374","0.8714270210506748"
"brisk-sweep-35","0.000006443136735890166","0.14536774410788397","4","0.0005328880765184448","1.3915461301803589","0.9999996672566162","0.8599553480819971","0.8676876465452128","0.8754199450084286","0.3304154574871063","0.862","0.865447996325359","0.8688959926507178"
"fresh-sweep-44","0.0000681028769166104","0.12788924272966992","9","0.000942607584933977","1.4598487615585327","0.9999997728336284","0.8607672011365943","0.8673399430202343","0.8739126849038743","0.3783329129219055","0.856","0.8621343541363138","0.8682687082726275"
"dry-sweep-113","0.000048052739350661274","0.16355287467986576","1","0.0001657026508827753","1.476880431175232","0.9999998527080668","0.8591434950274001","0.8671403624750309","0.8751372299226616","0.38993212580680847","0.858","0.8659602602689556","0.8739205205379111"
"revived-sweep-4","0.0001117404533520553","0.17632838154654615","0","0.0004167003653009082","1.4400030374526978","0.9999998375418476","0.8583316419728029","0.8670428272390124","0.8757540125052219","0.36464518308639526","0.868","0.8672942735524327","0.8665885471048654"
"solar-sweep-45","0.00017803871341516285","0.19960369032442693","6","0.00015480403643778265","1.5620098114013672","0.9999998022340444","0.8522427440633246","0.866779240840594","0.8813157376178634","0.44597339630126953","0.84","0.8603385449759777","0.8806770899519555"
"fluent-sweep-83","0.00002655641980128691","0.0111067370490747","2","0.0008820943933526665","1.3476568460464478","1.0000000450582502","0.8621879439821393","0.8666993120586804","0.8712106801352216","0.29836732149124146","0.864","0.8624618794789627","0.8609237589579254"
"pious-sweep-33","0.00017235904718049854","0.03705905360843958","0","0.0008611481922637903","1.576551914215088","0.9999998013640236","0.8615790541911914","0.8661425788852113","0.8707061035792311","0.45524007081985474","0.852","0.8616818104186157","0.8713636208372314"
"brisk-sweep-98","0.00002735265096286118","0.15877448536207725","7","0.0003074431778700717","1.4653035402297974","0.9999997641863898","0.8534605236452202","0.8657034800705785","0.8779464364959368","0.38206246495246887","0.86","0.8673952513590009","0.8747905027180019"
"rich-sweep-71","0.000010331553369678312","0.10877977272483388","8","0.00045676866190994306","1.4149962663650513","0.9999997469261244","0.8516338542723767","0.8656195294787253","0.879605204685074","0.34712687134742737","0.854","0.8643198257740714","0.8746396515481428"
"lemon-sweep-97","0.00023568563127452345","0.006606674160619597","8","0.0008378796274589603","1.1634583473205566","0.9999997777116116","0.8542723766998174","0.8654998027738414","0.8767272288478656","0.15139693021774292","0.86","0.8615247281478131","0.8630494562956261"
"proud-sweep-91","0.00006615526441890987","0.12311431464846669","3","0.00047159410222808823","1.3546061515808103","0.9999996924939722","0.8573168256545566","0.8654649993096739","0.8736131729647911","0.3035108149051666","0.866","0.8663099327065192","0.8666198654130385"
"devout-sweep-59","0.00012865830244145009","0.09596109498381698","5","0.0004998934038335451","1.3350980281829834","0.9999997747137852","0.8516338542723767","0.8654542943750703","0.8792747344777638","0.2890046536922455","0.856","0.8629401440403442","0.8698802880806885"
"fancy-sweep-42","0.000005171840246165945","0.015200468590109527","1","0.0006642411301276033","1.1892672777175903","0.9999998189022692","0.8575197889182058","0.8654014411518841","0.8732830933855624","0.17333734035491943","0.86","0.8623184696878703","0.8646369393757405"
"snowy-sweep-80","0.00006553582540753541","0.1903206183479085","1","0.0007636085463094915","1.4680978059768677","0.99999982468056","0.8617820174548406","0.865203756422176","0.8686254953895112","0.3839675784111023","0.856","0.862477458770361","0.868954917540722"
"glowing-sweep-86","0.000017217463132570727","0.05176530971180773","9","0.0009476096518539372","1.306215763092041","0.9999997191903772","0.8530545971179216","0.8650454254718041","0.8770362538256864","0.2671341896057129","0.854","0.8588970972296759","0.8637941944593519"
"major-sweep-16","0.00005179063384932668","0.1466412904563711","0","0.0008756009327940144","1.3823063373565674","0.9999998031434132","0.8611731276638929","0.8647941151143166","0.8684151025647402","0.323753297328949","0.866","0.8660330583277158","0.8660661166554318"
"sweepy-sweep-29","0.0000060242583514369854","0.196556101209766","3","0.0004604788716652157","1.5073058605194092","0.9999998268784424","0.8573168256545566","0.8647098273757873","0.872102829097018","0.410323828458786","0.858","0.8639737041571851","0.8699474083143701"
"ethereal-sweep-17","0.000011027760240682217","0.08436601598494636","7","0.00024701886533504575","1.43015456199646","0.9999998351335924","0.851836817536026","0.8646883561348717","0.8775398947337174","0.3577825129032135","0.848","0.8612419957149648","0.8744839914299297"
"copper-sweep-55","0.00002141046506601102","0.149226005760389","1","0.0007388121303432527","1.359289288520813","0.9999996512571198","0.8563020093363102","0.8646497406889432","0.8729974720415762","0.30696195363998413","0.856","0.8632909117055936","0.8705818234111872"
"efficient-sweep-103","0.00003122258006478095","0.09876642916828492","3","0.0009973542881223818","1.6482120752334597","0.999999753532766","0.8587375685001015","0.8644140432150436","0.8700905179299855","0.49969109892845154","0.85","0.8526436006141371","0.8552872012282744"
"stilted-sweep-104","0.0001051868254733107","0.1811142239681183","0","0.00013257022142021136","1.482276201248169","0.9999998888952516","0.8546783032271159","0.8640326830450619","0.8733870628630078","0.393578827381134","0.856","0.8639913986569677","0.8719827973139355"
"vocal-sweep-96","0.00000538837707500684","0.1691107174019442","4","0.00016318428402394935","1.583826780319214","0.9999998561231008","0.8542723766998174","0.8639077397220878","0.8735431027443583","0.4598439037799835","0.846","0.8572838447981839","0.8685676895963678"
"sparkling-sweep-30","0.000005986116283256262","0.03868474469213512","0","0.0008243724473689035","1.1714556217193604","0.999999611287015","0.8558960828090115","0.8637400519317051","0.8715840210543987","0.15824708342552185","0.846","0.8542569998081664","0.8625139996163328"
"true-sweep-89","0.00014504480904146966","0.042634162783553455","9","0.0006558010887836816","1.3423413038253784","0.9999998767606778","0.8485894053176375","0.8637253673445299","0.8788613293714223","0.29441535472869873","0.846","0.8574067410506873","0.8688134821013745"
"peachy-sweep-13","0.00009415770949138153","0.12190845640527928","0","0.0006596664304560517","1.3750067949295044","0.9999997886256308","0.8607672011365943","0.8633937903262996","0.866020379516005","0.3184586465358734","0.87","0.870731053556215","0.8714621071124301"
