"Name","adamw_lr","batch_size","dropout_rate","muon_lr","weight_decay","batch_perplexity","raw_grad_norm","test_accuracy","test_combined_score","test_pearson","train_loss","val_accuracy","val_combined_score","val_pearson"
"stellar-sweep-210","0.00006102470629878302","64","0.15","0.0009347660729368896","0.0005950884775565262","1.1745383739471436","0.9999995294297024","0.8703064745281104","0.8719444751978997","0.873582475867689","0.16087524592876434","0.848","0.8540232100908156","0.8600464201816314"
"bright-sweep-209","0.000102583025805241","32","0.1","0.0006176912826707078","0.00011300790786379564","1.1809638738632202","0.9999997313233004","0.8686827684189162","0.8672974945039655","0.8659122205890148","0.16633093357086182","0.848","0.8532529458645572","0.8585058917291145"
"crisp-sweep-208","0.00005556918101249263","64","0.15","0.0005040437772464471","0.000022714711024251456","1.5018346309661863","0.999999559896011","0.8613760909275421","0.8616255991405948","0.8618751073536476","0.40668749809265137","0.852","0.8548178224492349","0.8576356448984698"
"gallant-sweep-207","0.00006920111771097223","64","0.15","0.0009178906962040536","0.0001719203242504244","1.1741713285446167","0.9999994074712648","0.8694946214735133","0.8712473978731425","0.8730001742727718","0.16056258976459503","0.842","0.8515747060232948","0.8611494120465895"
"restful-sweep-206","0.00019751086728233812","32","0.1","0.0004927535294241862","0.000029682931791223107","1.2023433446884155","0.9999998492951674","0.867059062309722","0.8709743983007908","0.8748897342918597","0.1842724233865738","0.852","0.8570986214922593","0.8621972429845187"
"copper-sweep-205","0.00007551541628347133","32","0.05","0.00093335933719748","0.00003658786607344111","1.1880446672439575","0.9999997397309368","0.8680738786279684","0.866070916030915","0.8640679534338616","0.17230883240699768","0.862","0.8617483311064978","0.8614966622129957"
"major-sweep-204","0.000260673422365209","128","0.1","0.000831600821107767","0.000013239917650571006","1.484214425086975","0.9999994969904928","0.8542723766998174","0.8582922872448151","0.8623121977898127","0.3948856592178345","0.856","0.8545307002546101","0.8530614005092202"
"fresh-sweep-203","0.00008280213435528757","32","0.1","0.00032257911167112176","0.00003525025764455014","1.3520257472991943","0.9999997193766328","0.8680738786279684","0.8702981964889545","0.8725225143499404","0.3016039729118347","0.852","0.8567743609081663","0.8615487218163326"
"honest-sweep-202","0.0001054353580796111","32","0.05","0.0006850556688531998","0.00001792087053543421","1.188141942024231","0.9999997562806342","0.8615790541911914","0.8633798336208092","0.865180613050427","0.17239071428775787","0.838","0.847495071082847","0.856990142165694"
"cool-sweep-201","0.00010313946946771224","64","0.15","0.0006430238326368835","0.0003321241812801303","1.3657653331756592","0.9999995045451624","0.8654353562005277","0.8668824069452581","0.8683294576899886","0.31171491742134094","0.846","0.8530704859867222","0.8601409719734445"
"scarlet-sweep-200","0.00010702646052479412","32","0.15","0.0004516495663881184","0.0003322177753638475","1.2327334880828855","0.9999997751954344","0.8550842297544144","0.855837349842941","0.8565904699314677","0.2092340886592865","0.842","0.8494161353582818","0.8568322707165635"
"misty-sweep-199","0.00020494787264854015","32","0.2","0.0007148301884415854","0.0005624514444502412","1.2481201887130735","0.9999998343922026","0.8632027603003857","0.8665549563846121","0.8699071524688385","0.22163859009742737","0.848","0.8563945708545044","0.8647891417090089"
"astral-sweep-198","0.00013367756299847205","64","0.05","0.0008503064718040493","0.00001038120107545462","1.1748499870300293","0.9999995461180478","0.8577227521818551","0.8663906534705577","0.8750585547592602","0.1611405313014984","0.846","0.8524312352662897","0.8588624705325796"
"sweet-sweep-197","0.00006677626767325819","32","0.05","0.0004024119611388264","0.000012104450808720408","1.2570329904556274","0.9999995808891196","0.8735538867464989","0.8743030511074257","0.8750522154683524","0.2287541925907135","0.862","0.8627830545110817","0.8635661090221634"
"swift-sweep-196","0.00020740687637991751","32","0.05","0.0008156431322629248","0.000012425217635456962","1.2854787111282349","0.999999731328935","0.8727420336919017","0.8756960247130734","0.878650015734245","0.25113117694854736","0.86","0.8650613635829004","0.8701227271658009"
"eternal-sweep-195","0.000053457676487918546","32","0.05","0.00028870753940882514","0.00038284686660041914","1.4371283054351809","0.9999997674351012","0.8642175766186321","0.8666665353415641","0.8691154940644961","0.3626469075679779","0.854","0.8583546774821198","0.8627093549642396"
"celestial-sweep-194","0.00018270791764740015","64","0.2","0.0009293024054799","0.00010464611549856186","1.2379103899002075","0.9999996763796672","0.8629997970367363","0.8671639107373836","0.871328024438031","0.21342477202415464","0.842","0.8538124784089212","0.8656249568178424"
"lively-sweep-193","0.0000986118725385387","32","0.05","0.0009638643582200308","0.000019040130286554746","1.1545218229293823","0.9999996469150264","0.8597523848183479","0.8600865762525296","0.8604207676867112","0.1436861753463745","0.848","0.8550073505399054","0.8620147010798109"
"sleek-sweep-192","0.00006003481314887215","32","0.1","0.0008815364614906123","0.000032218443083487356","1.2044109106063845","0.999999786718486","0.8666531357824234","0.86754539506252","0.8684376543426165","0.18599051237106323","0.848","0.8585585130420483","0.8691170260840968"
"serene-sweep-191","0.0000623940512756485","32","0.1","0.0002262929797091028","0.000027183907072856812","1.544111251831055","0.9999997140769068","0.8593464582910493","0.8627958366807077","0.8662452150703661","0.4344485402107239","0.862","0.8626565593961661","0.8633131187923323"
"ethereal-sweep-190","0.00006658261090015222","64","0.1","0.0005335685751468629","0.000011671965179424132","1.4745361804962158","0.9999994940394124","0.8638116500913334","0.86447693726677","0.8651422244422067","0.3883434534072876","0.856","0.8580020284206389","0.8600040568412777"
"valiant-sweep-189","0.00007343002404849431","32","0.05","0.0005740477192279893","0.00002191105829532465","1.1031835079193115","0.9999993591672048","0.8632027603003857","0.861316986645942","0.8594312129914985","0.09820012748241425","0.84","0.852846481588128","0.865692963176256"
"ruby-sweep-188","0.00005487206089143818","32","0.05","0.0003616611598552126","0.00016056382887520384","1.2910196781158447","0.9999997023668864","0.8719301806373047","0.8726855298438663","0.8734408790504279","0.2554323077201843","0.862","0.8611554709186777","0.8603109418373556"
"woven-sweep-187","0.00008785569103410036","32","0.1","0.000953678117031748","0.00004313538612623972","1.1062583923339844","0.9999995225859072","0.8591434950274001","0.8620393383779457","0.8649351817284913","0.10098350793123244","0.852","0.8563624251544109","0.8607248503088216"
"peach-sweep-186","0.00009402954101421311","32","0.15","0.0008448438297431292","0.00009888865841785646","1.1896990537643433","0.9999996132754188","0.8640146133549828","0.8675656236955919","0.871116634036201","0.17370042204856873","0.856","0.8617532137985486","0.8675064275970973"
"revived-sweep-185","0.00012448543547484043","32","0.15","0.0007861345530912046","0.000020455054751756687","1.2304787635803225","0.9999997336175502","0.8640146133549828","0.8679953888374584","0.8719761643199341","0.2074033319950104","0.85","0.8611266808250067","0.8722533616500132"
"unique-sweep-184","0.0000972226365886764","64","0.2","0.0009131357517110156","0.00005580552410995172","1.2363706827163696","0.999999708946852","0.8680738786279684","0.870726573883498","0.8733792691390276","0.2121802419424057","0.84","0.8507385571485564","0.8614771142971127"
"splendid-sweep-183","0.00008526787586008511","32","0.05","0.0007416996462425201","0.00002011252515008804","1.2078911066055298","0.9999995160687292","0.8652323929368785","0.8650690386760911","0.8649056844153038","0.1888759881258011","0.848","0.8528822287030199","0.8577644574060398"
"clear-sweep-182","0.0001009488064178965","32","0.1","0.0003573766559209235","0.000024146094765373512","1.293919563293457","0.9999997097785324","0.8705094377917597","0.8727549485188975","0.8750004592460351","0.25767600536346436","0.856","0.8582633173588836","0.8605266347177672"
"peachy-sweep-181","0.0001854418977984109","32","0.05","0.0009184219262762568","0.00006435380651320622","1.122700810432434","0.9999996364287485","0.8546783032271159","0.8590154329507339","0.8633525626743519","0.1157371997833252","0.856","0.8550076846850843","0.8540153693701686"
"glorious-sweep-180","0.00007494539524093412","32","0.15","0.0002819375662270736","0.0006013804506593063","1.4518587589263916","0.9999997497914308","0.8611731276638929","0.865632237486663","0.8700913473094329","0.3728445768356323","0.852","0.8582338340788653","0.8644676681577307"
"youthful-sweep-179","0.00006052985257704826","32","0.1","0.000534977704524148","0.00016381158230195948","1.182055950164795","0.9999997211959468","0.8609701644002435","0.861304317358162","0.8616384703160805","0.16725528240203855","0.836","0.8486209103583744","0.8612418207167488"
"smooth-sweep-178","0.00022711408215431096","32","0.2","0.0009402200589793956","0.00004247760430809294","1.1578493118286133","0.9999997577324892","0.8609701644002435","0.8637289887280177","0.8664878130557918","0.14656420052051544","0.866","0.8651858324440929","0.8643716648881856"
"sandy-sweep-177","0.00005053171270511075","256","0.2","0.00007060329658997323","0.00004017117577696003","3.671919345855713","0.9999997692204032","0.31702861782017455","0.3944412640295328","0.47185391023889106","1.3007144927978516","0.308","0.3643096064865283","0.4206192129730567"
"fluent-sweep-176","0.00008579466925790033","32","0.1","0.0007043325075656044","0.00002289958215678661","1.1462466716766355","0.9999996357833996","0.8751775928556931","0.8763782787277896","0.877578964599886","0.1364927887916565","0.856","0.8598366568858049","0.8636733137716097"
"sunny-sweep-175","0.000060479596582224114","32","0.1","0.0006450047022833777","0.0001443021950808644","1.1467278003692627","0.9999997802921144","0.8646235031459306","0.86426022249821","0.8638969418504894","0.1369124948978424","0.848","0.855151842436739","0.862303684873478"
"fancy-sweep-174","0.00007415788975882317","32","0.1","0.0007325680320847129","0.000017458918678357848","1.1169356107711792","0.9999994962268924","0.8672620255733712","0.8717312031431845","0.876200380712998","0.1105889081954956","0.86","0.8661760098847014","0.8723520197694029"
"deft-sweep-173","0.00005435124526578951","32","0.05","0.0004244918916244837","0.000025689461266841144","1.242786169052124","0.9999995187273908","0.8759894459102903","0.8763058890379293","0.8766223321655683","0.21735581755638125","0.852","0.8564888035822746","0.8609776071645494"
"devout-sweep-172","0.00008667360631205052","32","0.1","0.00048431927006406457","0.000028496412020955375","1.2162954807281494","0.9999996963383028","0.8603612746092957","0.8590629547347861","0.8577646348602767","0.19580978155136108","0.83","0.8470456555110613","0.8640913110221227"
"deep-sweep-171","0.000122705546719375","32","0.15","0.0004023034432926445","0.00007645752978642029","1.2576717138290403","0.9999996478610408","0.8739598132737975","0.8755469361281005","0.8771340589824035","0.22926217317581177","0.86","0.8617785833129337","0.8635571666258672"
"snowy-sweep-170","0.0001025125250466773","32","0.15","0.000638436331661057","0.0002109316705979177","1.1945101022720337","0.9999997836722276","0.8690886949462148","0.8746805537026463","0.8802724124590777","0.17773616313934326","0.848","0.856583276101918","0.865166552203836"
"dark-sweep-169","0.00006288110450657358","32","0.1","0.0006986680557796352","0.00001879485508782012","1.196258783340454","0.9999998105441388","0.8623909072457885","0.8620903084475313","0.861789709649274","0.17919902503490448","0.84","0.8514152603898485","0.862830520779697"
"fancy-sweep-168","0.00013104609867658343","32","0.1","0.000370790817870073","0.000057856916619753254","1.2862855195999146","0.9999997594543316","0.8723361071646032","0.8741217118915526","0.8759073166185021","0.2517586946487427","0.852","0.8576960195271652","0.8633920390543305"
"deft-sweep-167","0.00010224220998285856","32","0.1","0.0008142348771384626","0.00021264196421155732","1.1694598197937012","0.9999997479846175","0.8621879439821393","0.8649541299693349","0.8677203159565304","0.15654197335243225","0.854","0.861825947026707","0.869651894053414"
"deft-sweep-166","0.00017057057669195102","32","0.15","0.0007419083906364688","0.0006023282593093633","1.1546858549118042","0.9999997228836188","0.8674649888370205","0.8683442895436568","0.8692235902502932","0.14382830262184143","0.858","0.8592603643403389","0.8605207286806777"
"zany-sweep-165","0.0000692184676740683","32","0.05","0.0009204812858771768","0.0005745560377920447","1.170331597328186","0.9999996788948388","0.8662472092551248","0.8657120964994159","0.8651769837437071","0.15728715062141418","0.844","0.8528402899596547","0.8616805799193094"
"glamorous-sweep-164","0.00005449524218830117","32","0.05","0.0006960233499394062","0.00003322830716194237","1.1598764657974243","0.9999997054089202","0.8634057235640349","0.8657479957074403","0.8680902678508459","0.14831344783306122","0.854","0.8563297764589175","0.8586595529178349"
"solar-sweep-163","0.0001077662053646467","64","0.1","0.000268883440605133","0.000026111768155384656","1.7187141180038452","0.9999995921552752","0.8422975441445099","0.8405054620115655","0.8387133798786213","0.5415763854980469","0.824","0.8347068315004502","0.8454136630009006"
"misunderstood-sweep-162","0.00012518736199091884","32","0.15","0.0005181445232244275","0.00022432387431491716","1.1778390407562256","0.9999997001662346","0.8753805561193424","0.8777333094203973","0.8800860627214522","0.1636815071105957","0.858","0.8589318171676771","0.8598636343353542"
"sweepy-sweep-161","0.00007686346855499732","32","0.05","0.0007362669800161006","0.000014300314636584882","1.1106351613998413","0.9999996350411356","0.8623909072457885","0.8639976347893537","0.8656043623329189","0.10493210703134535","0.854","0.8526450782215695","0.851290156443139"
"sage-sweep-160","0.0003080675582037362","64","0.2","0.00009695323164533812","0.0008622232532667099","1.86749005317688","0.999999658812945","0.694946214735133","0.7500691614187209","0.805192108102309","0.6245953440666199","0.69","0.7531473587528352","0.8162947175056706"
"visionary-sweep-159","0.00009324981154259006","128","0.15","0.0009663217766729452","0.000029891694065259383","1.487573504447937","0.9999995252664884","0.8611731276638929","0.8604814227755708","0.8597897178872488","0.39714622497558594","0.858","0.8546474205356429","0.8512948410712857"
"exalted-sweep-158","0.00008169721468711243","32","0.1","0.0009109823774542884","0.00001361070519302243","1.1294939517974854","0.9999997130791122","0.86198498071849","0.8666553509957845","0.8713257212730791","0.12176977843046188","0.846","0.8513304055072214","0.8566608110144428"
"devout-sweep-157","0.00007895032494540075","32","0.1","0.0003121023427793903","0.00001586781656248985","1.3660613298416138","0.9999998550999468","0.8662472092551248","0.8690752503938796","0.8719032915326344","0.31193166971206665","0.85","0.8565989705446959","0.8631979410893919"
"lively-sweep-156","0.0001650879356698638","32","0.05","0.0003955956762263761","0.00005146385662846319","1.219745635986328","0.9999998621645206","0.8737568500101481","0.8751090508366901","0.876461251663232","0.1986422538757324","0.85","0.853649219831975","0.8572984396639498"
"misty-sweep-155","0.00009191904616867512","32","0.2","0.0008887045369127164","0.00005984669678750565","1.2086241245269775","0.999999670861188","0.8550842297544144","0.8578758530497538","0.8606674763450931","0.18948259949684143","0.83","0.8434354623600893","0.8568709247201787"
"fragrant-sweep-154","0.0001295309101133978","32","0.05","0.00031269085433698334","0.00010116807684762357","1.3326270580291748","0.9999997151635852","0.8638116500913334","0.8682307704827334","0.8726498908741336","0.2871522307395935","0.846","0.8528741507128649","0.8597483014257298"
"ethereal-sweep-153","0.000059459895547274305","32","0.05","0.0008725055692592344","0.00006845307274756733","1.1692465543746948","0.9999995922570049","0.8696975847371625","0.8718550234300305","0.8740124621228985","0.15635955333709717","0.854","0.864528069445234","0.8750561388904681"
"ruby-sweep-152","0.00010490443443077934","64","0.2","0.0008560683633597947","0.00003223374814046553","1.2303560972213743","0.999999811805387","0.8589405317637507","0.8580901698332647","0.8572398079027786","0.20730361342430115","0.836","0.8479208177404609","0.8598416354809219"
"twilight-sweep-151","0.00012961830044689094","32","0.05","0.0005599049207404697","0.00001311802331091131","1.1496671438217163","0.9999997906437252","0.8725390704282525","0.8768609548405728","0.8811828392528931","0.13947242498397827","0.852","0.8584827271895656","0.8649654543791312"
"serene-sweep-150","0.00006801271857250983","64","0.15","0.000932802084742828","0.000011763048317181098","1.190028429031372","0.9999996517026228","0.8727420336919017","0.8744897544697174","0.8762374752475333","0.17397722601890564","0.842","0.852139759470673","0.862279518941346"
"restful-sweep-149","0.0001511212371732178","64","0.1","0.0005537119835156222","0.00011391155669329669","1.4282057285308838","0.9999995860364088","0.8646235031459306","0.8674000109938871","0.8701765188418434","0.3564189076423645","0.834","0.8493371070564983","0.8646742141129967"
"bumbling-sweep-148","0.00008727250164888305","64","0.1","0.00046957735788891663","0.0002113790927193965","1.5153803825378418","0.99999946936686","0.8599553480819971","0.8614451378983133","0.8629349277146295","0.41566646099090576","0.854","0.8568838145684743","0.8597676291369487"
"gentle-sweep-147","0.00008996672768304255","32","0.1","0.000365268512705432","0.000018330653305713735","1.2762293815612793","0.999999649330833","0.8707124010554089","0.8729497337812472","0.8751870665070854","0.24390995502471924","0.868","0.865478668157762","0.8629573363155241"
"eager-sweep-146","0.00014248735606823317","128","0.15","0.0008721409758794081","0.00002080287511757942","1.5101799964904783","0.999999582505897","0.8567079358636087","0.858885766656908","0.8610635974502072","0.4122288525104522","0.86","0.8576995533529256","0.8553991067058512"
"neat-sweep-145","0.0007930166267799038","64","0.15","0.00018460871347086215","0.00015233715628791794","1.5236254930496216","0.999999583305816","0.8475745889993911","0.8510818168907321","0.8545890447820732","0.4210926592350006","0.838","0.8468384496149552","0.8556768992299105"
"ethereal-sweep-144","0.00008773533969186731","64","0.15","0.0008150814314400142","0.00014171501192133986","1.222056269645691","0.9999996465938562","0.8666531357824234","0.8683530606773355","0.8700529855722475","0.2005348801612854","0.85","0.8540937299653402","0.8581874599306805"
"northern-sweep-143","0.00008357726500670312","64","0.15","0.0005410459311801999","0.00013557830693558065","1.4523345232009888","0.999999485904854","0.8617820174548406","0.8627041597998959","0.8636263021449513","0.37317225337028503","0.848","0.8541584630950675","0.860316926190135"
"mild-sweep-142","0.00010937474905672234","64","0.15","0.0006555797228884692","0.00008561151569972048","1.344135046005249","0.9999995569689192","0.8664501725187741","0.8679165997155035","0.8693830269122329","0.2957507371902466","0.842","0.8497322453761871","0.8574644907523743"
"quiet-sweep-141","0.00006747305321147915","32","0.1","0.0007744150659629615","0.00004496973910260846","1.1970235109329224","0.9999996591281516","0.8644205398822813","0.8646479778712858","0.8648754158602903","0.1798381209373474","0.848","0.8533231858282846","0.8586463716565693"
"amber-sweep-140","0.0000945579215228104","32","0.1","0.0006005676134683747","0.00005375116805946166","1.143073320388794","0.9999996054638304","0.8723361071646032","0.8757719844414453","0.8792078617182875","0.13372057676315308","0.846","0.8577954575704436","0.8695909151408874"
"upbeat-sweep-139","0.00005871127434826289","32","0.1","0.0005613109216511038","0.00022692622187213507","1.16892671585083","0.9999998841794704","0.8737568500101481","0.8760734603003991","0.8783900705906501","0.15608598291873932","0.856","0.8610845964687176","0.8661691929374352"
"dazzling-sweep-138","0.00022763880791285175","32","0.05","0.0005496042125479158","0.000013062102303636672","1.1851210594177246","0.9999997077892578","0.8640146133549828","0.86497950568121","0.8659443980074373","0.16984492540359497","0.85","0.8589126002375005","0.8678252004750011"
"usual-sweep-137","0.0004808119387344006","64","0.15","0.0007341673215178358","0.000010249320807893586","1.2048988342285156","0.9999996325816416","0.867059062309722","0.8714753455401054","0.875891628770489","0.1863955706357956","0.85","0.8539067478010609","0.857813495602122"
"volcanic-sweep-136","0.00016436154662711027","64","0.2","0.000953006784793954","0.00029094364448588095","1.2210074663162231","0.9999997396777452","0.8565049725999594","0.8559696447945416","0.8554343169891239","0.19967634975910187","0.83","0.8471735291955349","0.8643470583910698"
"stellar-sweep-135","0.0000666344353332652","64","0.1","0.000655746446612264","0.000016524282300248512","1.391710877418518","0.999999584116884","0.8644205398822813","0.8655550887366557","0.86668963759103","0.33053386211395264","0.84","0.8501088253923366","0.8602176507846733"
"sweepy-sweep-134","0.00016721579516221474","32","0.1","0.0005274269059438872","0.00006455615228975636","1.2067649364471436","0.9999996833775514","0.8668560990460726","0.8647983695365113","0.8627406400269501","0.18794314563274384","0.844","0.8548798645705604","0.865759729141121"
"northern-sweep-133","0.00008064594929502959","32","0.15","0.0005214958190028903","0.00007987688514517248","1.2099261283874512","0.999999838192747","0.8711183275827076","0.8755093636563396","0.8799003997299716","0.19055934250354767","0.85","0.8566168653149848","0.8632337306299698"
"likely-sweep-132","0.00012411241811050277","32","0.1","0.00040001591904833135","0.00024024975473323215","1.2344343662261963","0.999999817163772","0.8694946214735133","0.8717753541455919","0.8740560868176707","0.21061286330223083","0.85","0.8565502549045421","0.863100509809084"
"super-sweep-131","0.00023929544505183427","32","0.1","0.0009060842679558218","0.00002646187576433022","1.223205327987671","0.9999999254619848","0.8581286787091537","0.8613859890064182","0.8646432993036826","0.20147471129894257","0.848","0.8543218549447529","0.8606437098895059"
"lucky-sweep-130","0.00007756131158603989","32","0.1","0.0004526016193349915","0.00011864088034557068","1.1999725103378296","0.9999996680772042","0.8739598132737975","0.8743298024291183","0.8746997915844391","0.18229863047599792","0.84","0.8512260895752969","0.8624521791505938"
"fine-sweep-129","0.0005396034802074162","64","0.1","0.00005527379501770843","0.000019533208084705195","1.7997820377349854","0.999999518360606","0.6817536025979297","0.7466606666892667","0.8115677307806036","0.5876655578613281","0.68","0.7509605038172771","0.8219210076345542"
"peachy-sweep-128","0.000050929386588598705","32","0.1","0.0005508237732248577","0.000014778476071755356","1.165687084197998","0.9999997332788316","0.8609701644002435","0.8601769004018687","0.8593836364034938","0.15331070125102997","0.842","0.8538226774564959","0.8656453549129918"
"absurd-sweep-127","0.000055670222980246464","64","0.1","0.00092397506073492","0.000010629751636899562","1.1943471431732178","0.999999736719092","0.8660442459914756","0.8694717821621928","0.87289931833291","0.1775997132062912","0.836","0.8472531324445964","0.858506264889193"
"eager-sweep-126","0.00012953974670003809","32","0.1","0.00041315997378498913","0.00004737737120222809","1.256200909614563","0.9999996390213848","0.8747716663283945","0.8755727517795946","0.8763738372307947","0.2280919849872589","0.85","0.8588732344409742","0.8677464688819483"
"divine-sweep-125","0.000060653677396418774","32","0.05","0.0005957276062447691","0.000038574631646219135","1.1362340450286863","0.9999995766157116","0.86198498071849","0.8612417962207728","0.8604986117230558","0.12771934270858765","0.844","0.8545273352323403","0.8650546704646805"
"fanciful-sweep-124","0.00006877722912504951","32","0.1","0.0005138546719050769","0.00004827032276292586","1.1961684226989746","0.9999997021966608","0.8759894459102903","0.8788737547278056","0.8817580635453208","0.17912346124649048","0.846","0.8586246336655384","0.8712492673310769"
"misty-sweep-123","0.0001098041102709874","32","0.15","0.0004896653650879834","0.00024224661478023748","1.213828206062317","0.9999996381926172","0.872133143900954","0.8761943324899324","0.8802555210789108","0.1937790960073471","0.848","0.8546763941499171","0.8613527882998342"
"charmed-sweep-122","0.00012592446215864403","32","0.1","0.00047103928738396713","0.00007128066326219486","1.1543360948562622","0.9999997151859128","0.8751775928556931","0.8781489608006723","0.8811203287456516","0.14352527260780334","0.852","0.8597098038405775","0.8674196076811551"
"feasible-sweep-121","0.00009840986925438094","32","0.1","0.0003927917710744772","0.00008067121181351623","1.2633951902389526","0.9999996887073078","0.869291658209864","0.8713864279500401","0.8734811976902163","0.23380263149738312","0.852","0.8555712762463341","0.8591425524926684"
"jumping-sweep-120","0.00007229877077655364","32","0.1","0.0003526449721278902","0.0000847445717456871","1.32380211353302","0.9999997798373748","0.8717272173736553","0.8718706425194482","0.8720140676652413","0.2805079519748688","0.848","0.8532344396381206","0.8584688792762413"
"eager-sweep-119","0.00016091282430916203","32","0.15","0.0006889855287275585","0.00006842535795231022","1.138338923454285","0.9999996319612864","0.865638319464177","0.8669779143044545","0.868317509144732","0.12957006692886353","0.848","0.8563766046383856","0.8647532092767711"
"electric-sweep-118","0.0000731580278704604","32","0.1","0.0004026678699808749","0.00005620035536453225","1.2503626346588137","0.999999667868106","0.8735538867464989","0.8739554514399135","0.8743570161333281","0.22343361377716064","0.858","0.8599541739585126","0.8619083479170253"
"woven-sweep-117","0.00014459625391504866","64","0.1","0.00041559226680062695","0.000015185953718353775","1.5223252773284912","0.9999995949541444","0.8569108991272579","0.859913278948956","0.862915658770654","0.4202389419078827","0.86","0.8594953311168139","0.8589906622336276"
"generous-sweep-116","0.00013097579139748322","32","0.15","0.0004676683254426741","0.00010485326827669106","1.187746286392212","0.9999997451603904","0.8719301806373047","0.876219598034361","0.8805090154314174","0.1720575988292694","0.846","0.854000540025794","0.8620010800515879"
"neat-sweep-115","0.00015207546693838238","64","0.1","0.0005698519362649904","0.00004226516761738256","1.4047592878341677","0.9999995701525884","0.8654353562005277","0.8676640331530308","0.8698927101055338","0.33986592292785645","0.836","0.8491751114903019","0.8623502229806038"
"copper-sweep-114","0.0000653195979472823","32","0.1","0.00043200421515778584","0.00004117781995674389","1.278423547744751","0.9999996487513312","0.8737568500101481","0.8743101040624232","0.8748633581146982","0.2456277310848236","0.852","0.8573016471074287","0.8626032942148575"
"misunderstood-sweep-113","0.0001938809552492304","32","0.1","0.00038553186355652934","0.000039076951915286874","1.2434161901474","0.9999997283385216","0.8694946214735133","0.8733993621815159","0.8773041028895185","0.217862606048584","0.85","0.8566131474968126","0.8632262949936252"
"fanciful-sweep-112","0.00019892018899359736","64","0.1","0.0006581218940614517","0.00006366568163272045","1.3228187561035156","0.999999706193144","0.8666531357824234","0.8699691514442742","0.8732851671061251","0.27976489067077637","0.854","0.8577597709131717","0.8615195418263435"
"fanciful-sweep-111","0.00007616904075294572","64","0.15","0.0009584394265509844","0.00003704518267608598","1.1625279188156128","0.999999629903602","0.8690886949462148","0.8726944381981475","0.8763001814500803","0.15059690177440643","0.844","0.8540272257133441","0.8640544514266882"
"faithful-sweep-110","0.00009882277932734584","32","0.1","0.0008651209289820243","0.00006875069273644788","1.1993848085403442","0.9999997008209116","0.8688857316825654","0.8710216677434736","0.8731576038043817","0.181808739900589","0.864","0.8667309461476582","0.8694618922953166"
"laced-sweep-109","0.0008562426978561324","64","0.2","0.0007126239145633477","0.000019056378285183097","1.2169147729873655","0.9999997353777904","0.8719301806373047","0.8742964763467165","0.8766627720561282","0.19631873071193695","0.854","0.8580260337473015","0.862052067494603"
"summer-sweep-108","0.00010451969029911944","32","0.1","0.0005681726290639826","0.00011001350995048506","1.268412947654724","0.9999997804157728","0.874365739801096","0.8800140302670735","0.885662320733051","0.23776641488075256","0.85","0.861133967389808","0.872267934779616"
"pleasant-sweep-107","0.00007199128660923287","32","0.05","0.00029898960755739653","0.000010772089726936257","1.38778555393219","0.9999997918638922","0.8652323929368785","0.8682856672827066","0.8713389416285349","0.3277093470096588","0.846","0.854572290144451","0.863144580288902"
